3
S,0,4,16
Block 0,Track Empty,,Working,Heat OFF
Block 1,Track Empty,,Working,Heat OFF
Block 2,Occupied,Station,Working,Heat OFF
Block 3,Track Empty,Light: Green,Working,Heat OFF
S,1,4,12.4
Block 3,Track Empty,Light: Green,Working,Heat OFF
Block 4,Track Empty,,Working,Heat OFF
Block 5,Track Empty,Switch: >3 6,Working,Heat OFF
Block 6,Occupied,,Working,Heat OFF
S,2,4,15
Block 6,Occupied,,Working,Heat ON
Block 7,Track Empty,,Working,Heat ON
Block 8,Track Empty,,FAILURE,Heat ON
Block 9,Track Empty,Crossing,Working,Heat ON
